,ENGR 110, Engineering Design &amp; Graphics ,4
,ENGR 111,Engineering Profession, Practice &amp; Responsibilities,2
,BLDG 350,Acoustics &amp; Lighting,4
,BLDG 351,Surveying I,4
,BLDG 361,Surveying II,4
,BLDG 371,Soil Mechanics,4
CES 419,BLDG 596,Senior Seminar,2
,MATL 240,Crystalline Structure of Materials,4
,MATL 242,Thermochemistry,4
,MATL 241,Heat Transfer,4
,MATL 361,Design of Experiments,2
,MATL 363,Phase Transformation ,4
,MATL 364, Semiconductors and materials for electronic applications ,4
,MATL 470," Glasses, ceramics and binding materials 4",4
,MATL 471,Extractive metallurgy,4
,MATL 472 ,Polymer Materials,4
,MATL 474,Materials for biomedical applications,4
MDP 337,MATL 480,Corrosion,4
,MATL 481 ,Properties and processing of composites,4
,MATL 601,Senior Thesis I,2
PHM 116,EMAT 232,Complex and Special functions and Fourier Analysis,4
,COMM 230,Electronic Technology,2
ECE 252,COMM 350,Signals and Systems,4
,COMM 364,Electronic Measurements ,2
,COMM 594,Project (2),6
,MANF 489,Senior Seminar,2
,MANF 597,Industrial Organization,4
,MANF 599,Senior Project I &amp; 2 ( 2 terms),6
,ERGY 599,Project,6
,MDP 061, Engineering Design and Graphics ,4
,CEP 212,Surveying (1),4
,CEP 213,Surveying (2),4
,EPM 213,Acoustics &amp; Lighting,4
,ECE 242,Electronic Circuits (1),4
,ECE 262,Waves and transmission Lines,4
,ECE 498,Graduation Project (2),4
,MDP 133,Crystalline Structures of Materials,4
,MEP 222,Heat and Mass Transfer,4
,MDP 233,Phase Transformations and Heat Treatment,4
,MDP 356,FE and Computional Material Engineering,4
,MDP 391,Industrial Project,4
,MDP 491,Graduation Project (1),4
,MDP 492,Graduation Project (2),4
,MDP 232,Fluid Mechanics,4
,MDP 389,Selected Topics in Manufactring Engineering,2
,MDP 459,Mechatronics,2
,MDP 113,Production Engineering and Manufacturing,2
,CSE 427,Software Project Management,2
,UPL 131,Freehand Drawing and Visual Training,2
,UPL 133,Design Studio (1),4
,UPL 134,Design studio (2),4
,UPL 153,Site Photography and Documentation,2
,CEI 213,Irrigation System &amp; Network,2
,UPL 214,Computer Applications in Landscape Architecture,2
,UPL 234,Design studio (3),4
,UPL 235,Design studio (4),4
,UPL 252,Models &amp; 3D samples,2
,UPL 255,Presentation and Communication Techniques,2
,UPL 256,GIS Applications,2
,UPL 312,Infrastructure Planning,2
,UPL 314,Advanced Computer Applications 3D,2
,UPL 337,Design studios (5),4
,UPL 338,Design studio (6),4
,UPL 355,Holticulture and Garden Design (1),2
,UPL 356,Holticulture and Garden Design (2),2
,UPL 443,Urban Ecology,2
,ARC 455,Project Mangement,2
,UPL 493,Graduation Project (1),5
,UPL 494,Graduation Project (2),5
,HUM 021,History of Arts (1),2
,HUM 031,History of Arts (2),2
,HUM 224,Humanities in Landscape Architecture,2
,HUM 325,Human Behaviors and Urbanism,2
,MCT 151,Introduction to Mechatronics,2
,MCT 311,Introduction to Autotronics,2
,MCT 321,Introduction to Nano-Mechatronics,2
,MCT 341,Introduction to Bio-Mechatronics,2
,CSE 111,Software Project Management,2